slug,name,category,chain_main,chains,max_tvl,tvl_bin,ever_exploited,is_exploited_eventlevel,ever_audited,any_top_firm,audit_firm_count,contract_address,compiler_version,verified_source_found
alligator,Alligator,Dexs,Avalanche,Avalanche,8385.383029567452,Q2,0,0,0,0,0,,,0
piratedao,PirateDAO,Reserve Currency,Avalanche,Avalanche,809.2157339383818,Q2,0,0,0,0,0,,,0
augmented-finance,Augmented Finance,Lending,Avalanche,Avalanche;Ethereum;Binance;xDai,326.65169644014406,Q2,0,0,0,0,0,,,0
bitdrome-finance,Bitdrome Finance,Dexs,BEVM,BEVM,778.5111140034829,Q2,0,0,0,0,0,,,0
capy-finance,Capy Finance,Farm,BSquared,BSquared,1592.4871650829512,Q2,0,0,0,0,0,,,0
bitlen-finance,Bitlen Finance,Lending,BSquared,BSquared;CORE,3.274738801465434,Q2,0,0,0,0,0,,,0
tower-dex,Tower DEX,Dexs,Babylon Genesis,Babylon Genesis,6574.265593669287,Q2,0,0,0,0,0,,,0
sharesgram,SharesGram,SoFi,Base,Base,12604.026975413652,Q2,0,0,0,0,0,,,0
chedda-finance,Chedda Finance,Lending,Base,Base,877.3925376872381,Q2,0,0,0,0,0,,,0
spooky-base,Spooky Base,Dexs,Base,Base,316.2689241767833,Q2,0,0,0,0,0,,,0
squadefi,SquaDeFi,SoFi,Base,Base,38.08414298174628,Q2,0,0,0,0,0,,,0
a51-finance-v3,A51 Finance V3,Liquidity manager,Base,Base;Arbitrum;Linea;Optimism;Blast;Mode;Scroll;Manta;Binance;Polygon;Polygon zkEVM,5754.960945225807,Q2,0,0,0,0,0,,,0
