slug,name,symbol,category,tvl,chains,has_audit_strict,has_contest,has_security_review_broad,num_audits_strict,num_contests,audit_event_count_strict,contest_event_count,security_review_event_count_total,last_audit_date_strict,last_contest_date,last_security_review_date,audit_recency_years_strict,audit_firm_count,any_top_firm,audit_firm_tier,audit_score,strict_sources_seen,contest_sources_seen,all_sources_seen,audit_firms_strict
ecurve,eCurve,ECRV,Dexs,0.0,EOS,1,0,1,2,0,2,0,2,,,,,2,0,other,89.0,[full],[],[full],"[certik,defisafety]"
ekubo,Ekubo,EKUBO,Dexs,61056276.81774344,Starknet;Ethereum,0,1,1,0,4,0,4,4,,2025-11-16 20:02:44+00:00,2025-11-16 20:02:44+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
elasticswap,ElasticSwap,TIC,Dexs,4107.5128564765855,Ethereum;Avalanche,0,1,1,0,8,0,8,8,,2021-12-21 15:54:37+00:00,2021-12-21 15:54:37+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
elfi-protocol,ELFi Protocol,-,Derivatives,7948501.412113331,Arbitrum;Base,0,1,1,0,8,0,8,8,,2024-07-25 11:31:24+00:00,2024-07-25 11:31:24+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
ens,ENS,ENS,Domains,0.0,,0,1,1,0,48,0,48,48,,2023-09-25 15:15:38+00:00,2023-09-25 15:15:38+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
enso,Enso,ENSO,DEX Aggregator,,,0,1,1,0,12,0,12,12,,2023-09-04 11:07:25+00:00,2023-09-04 11:07:25+00:00,,0,0,unknown,,[],"[code4rena,sherlock]","[code4rena,sherlock]",[]
escher,Escher,-,Liquid Staking,4167979.5394132296,Babylon Genesis,0,1,1,0,8,0,8,8,,2022-11-30 20:14:15+00:00,2022-11-30 20:14:15+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
escrow,ESCROW,ESCROW,Services,0.0,Ethereum,0,1,1,0,8,0,8,8,,2024-01-24 14:51:39+00:00,2024-01-24 14:51:39+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
ethena-usde,Ethena USDe,ENA,Basis Trading,6299681727.931337,Ethereum,0,1,1,0,8,0,8,8,,2023-10-19 15:13:02+00:00,2023-10-19 15:13:02+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
ethos-network,Ethos Network,-,SoFi,2946146.389288776,Base,0,1,1,0,16,0,16,16,,2025-01-16 17:47:57+00:00,2025-01-16 17:47:57+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
ethos-reserve,Ethos Reserve,OATH,CDP,264622.40890371514,Optimism,0,1,1,0,32,0,32,32,,2024-07-27 17:18:19+00:00,2024-07-27 17:18:19+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
ethosx,EthosX,-,Derivatives,0.0,Binance;Arbitrum,0,1,1,0,8,0,8,8,,2023-02-10 00:43:19+00:00,2023-02-10 00:43:19+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
exactly,Exactly,EXA,Lending,3902864.221325039,Optimism;Ethereum,0,1,1,0,8,0,8,8,,2024-08-26 20:06:39+00:00,2024-08-26 20:06:39+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
