protocol_name_raw,source,audit_firm_raw,audit_score,audit_date,evidence_url,notes,__srcfile,org,repo_name,protocol_guess,slug,in_llama,protocol_norm,slug_mapped,slug_final
defiprotocol,code4rena,Code4rena,,2021-12-03T20:48:43Z,https://github.com/code-423n4/2021-12-defiprotocol,repo=2021-12-defiprotocol,audit_events_code4rena.csv,,,,,0,defiprotocol,,
yetifinance,code4rena,Code4rena,,2021-12-07T16:29:58Z,https://github.com/code-423n4/2021-12-yetifinance,repo=2021-12-yetifinance,audit_events_code4rena.csv,,,,,1,yetifinance,yeti-finance,yeti-finance
yetifinance,code4rena,Code4rena,,2021-12-07T16:31:10Z,https://github.com/code-423n4/2021-12-yetifinance-findings,repo=2021-12-yetifinance-findings,audit_events_code4rena.csv,,,,,1,yetifinance,yeti-finance,yeti-finance
sandclock,code4rena,Code4rena,,2021-12-07T16:41:31Z,https://github.com/code-423n4/2022-01-sandclock,repo=2022-01-sandclock,audit_events_code4rena.csv,,,,,1,sandclock,sandclock,sandclock
sandclock,code4rena,Code4rena,,2021-12-07T16:46:35Z,https://github.com/code-423n4/2022-01-sandclock-findings,repo=2022-01-sandclock-findings,audit_events_code4rena.csv,,,,,1,sandclock,sandclock,sandclock
amun,code4rena,Code4rena,,2021-12-07T17:11:45Z,https://github.com/code-423n4/2021-12-amun-findings,repo=2021-12-amun-findings,audit_events_code4rena.csv,,,,,1,amun,amun,amun
amun,code4rena,Code4rena,,2021-12-07T17:18:18Z,https://github.com/code-423n4/2021-12-amun,repo=2021-12-amun,audit_events_code4rena.csv,,,,,1,amun,amun,amun
nftx,code4rena,Code4rena,,2021-12-07T22:51:33Z,https://github.com/code-423n4/2021-12-nftx-findings,repo=2021-12-nftx-findings,audit_events_code4rena.csv,,,,,1,nftx,nftx,nftx
nftx,code4rena,Code4rena,,2021-12-07T22:53:35Z,https://github.com/code-423n4/2021-12-nftx,repo=2021-12-nftx,audit_events_code4rena.csv,,,,,1,nftx,nftx,nftx
vader,code4rena,Code4rena,,2021-12-10T16:36:36Z,https://github.com/code-423n4/2021-12-vader-findings,repo=2021-12-vader-findings,audit_events_code4rena.csv,,,,,1,vader,vader-ai,vader-ai
vader,code4rena,Code4rena,,2021-12-10T16:38:31Z,https://github.com/code-423n4/2021-12-vader,repo=2021-12-vader,audit_events_code4rena.csv,,,,,1,vader,vader-ai,vader-ai
